gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,num_addon_services,avg_monthly_spend,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1-2yr,tenure_group_2-4yr,tenure_group_4-5yr,tenure_group_5yr+
0,0,0,1,35,1,0,49.2,1701.65,3,48.61857142857143,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
0,0,1,0,15,0,0,75.1,1151.55,1,76.77,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
0,0,1,0,13,1,0,40.55,590.35,3,45.41153846153846,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False
1,0,1,1,26,0,1,73.5,1905.7,4,73.29615384615384,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False
0,0,1,0,1,0,0,44.55,44.55,0,44.55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,66,0,1,79.5,5196.1,5,78.72878787878788,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True
1,0,0,1,1,0,0,19.8,19.8,0,19.8,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1,0,1,1,40,0,0,56.6,2379.1,1,59.4775,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1,0,1,1,65,0,1,59.8,3808.2,2,58.58769230769231,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True
1,0,0,1,60,0,0,80.55,4847.05,4,80.78416666666666,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,False,True,False
1,1,0,1,5,0,0,59.9,287.85,3,57.57000000000001,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1,0,1,0,5,0,1,49.4,232.55,1,46.510000000000005,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,0,0,1,2,0,0,50.95,123.05,1,61.525,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,0,30,0,0,67.6,2000.2,4,66.67333333333333,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
0,0,1,1,36,0,1,95.4,3474.2,2,96.50555555555555,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
1,0,1,0,55,0,1,69.05,3842.6,0,69.86545454545454,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
1,0,0,1,31,0,1,84.75,2613.4,2,84.30322580645162,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1,1,1,0,28,1,1,35.9,973.65,1,34.77321428571428,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,0,0,1,16,0,0,18.95,326.8,0,20.425,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False
0,0,0,1,6,0,0,20.15,130.5,0,21.75,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
